"accession","Plasmid","phylogroup.x","res_sus.x","clustersize.x","lastresistantparent.x","sample.x","Drug","phylogroup.y","res_sus.y","clustersize.y","lastresistantparent.y","sample.y"
"ERR434286","FIA","B2","res",2,1975,950,"AmoxiClav","B2","sus",1,620,618
"ERR434286","FIA","B2","res",2,1975,950,"Cefuroxime","B2","sus",1,620,618
"ERR434288","FIC","B2","sus",1,477,473,"AmoxiClav","B2","res",1,318,318
"ERR434288","FIC","B2","sus",1,477,473,"Cefuroxime","B2","sus",1,321,318
"ERR434288","FIC","B2","sus",1,477,473,"Ceftazidime","B2","sus",1,321,318
"ERR434288","FIB","B2","res",120,1020,473,"AmoxiClav","B2","res",1,318,318
"ERR434288","FIB","B2","res",120,1020,473,"Cefuroxime","B2","sus",1,321,318
"ERR434288","FIB","B2","res",120,1020,473,"Ceftazidime","B2","sus",1,321,318
"ERR434288","FIB","B2","res",7,1501,473,"AmoxiClav","B2","res",1,318,318
"ERR434288","FIB","B2","res",7,1501,473,"Cefuroxime","B2","sus",1,321,318
"ERR434288","FIB","B2","res",7,1501,473,"Ceftazidime","B2","sus",1,321,318
"ERR434288","FIA","B2","res",4,1505,473,"AmoxiClav","B2","res",1,318,318
"ERR434288","FIA","B2","res",4,1505,473,"Cefuroxime","B2","sus",1,321,318
"ERR434288","FIA","B2","res",4,1505,473,"Ceftazidime","B2","sus",1,321,318
"ERR434289","FIA","B2","sus",1,480,478,"Cefuroxime","B2","res",1,322,322
"ERR434289","FIA","B2","sus",1,480,478,"AmoxiClav","B2","sus",1,324,322
"ERR434289","FIA","B2","sus",2,1520,478,"Cefuroxime","B2","res",1,322,322
"ERR434289","FIA","B2","sus",2,1520,478,"AmoxiClav","B2","sus",1,324,322
"ERR434289","FIB","B2","sus",1,512,478,"Cefuroxime","B2","res",1,322,322
"ERR434289","FIB","B2","sus",1,512,478,"AmoxiClav","B2","sus",1,324,322
"ERR434289","FIB","B2","sus",2,1520,478,"Cefuroxime","B2","res",1,322,322
"ERR434289","FIB","B2","sus",2,1520,478,"AmoxiClav","B2","sus",1,324,322
"ERR434289","FIB","B2","sus",1,479,478,"Cefuroxime","B2","res",1,322,322
"ERR434289","FIB","B2","sus",1,479,478,"AmoxiClav","B2","sus",1,324,322
"ERR434289","FIC","B2","sus",1,512,478,"Cefuroxime","B2","res",1,322,322
"ERR434289","FIC","B2","sus",1,512,478,"AmoxiClav","B2","sus",1,324,322
"ERR434289","FIC","B2","sus",1,479,478,"Cefuroxime","B2","res",1,322,322
"ERR434289","FIC","B2","sus",1,479,478,"AmoxiClav","B2","sus",1,324,322
"ERR434289","FIC","B2","sus",1,481,478,"Cefuroxime","B2","res",1,322,322
"ERR434289","FIC","B2","sus",1,481,478,"AmoxiClav","B2","sus",1,324,322
"ERR434289","FIB","B2","sus",1,481,478,"Cefuroxime","B2","res",1,322,322
"ERR434289","FIB","B2","sus",1,481,478,"AmoxiClav","B2","sus",1,324,322
"ERR434290","FIA","D","res",32,473,178,"Ciprofloxacin","D","res",18,298,113
"ERR434290","FIA","D","res",32,473,178,"Gentamicin","D","res",1,113,113
"ERR434291","FIB","A","res",32,132,85,"AmoxiClav","A","sus",1,121,85
"ERR434297","FIB","A","sus",1,51,52,"Gentamicin","A","sus",1,51,52
"ERR434297","FIA","A","sus",1,51,52,"Gentamicin","A","sus",1,51,52
"ERR434297","FIB","A","sus",3,199,52,"Gentamicin","A","sus",1,51,52
"ERR434298","FIB","A","res",32,132,113,"Gentamicin","A","res",5,248,113
"ERR434298","FIB","A","res",32,132,113,"AmoxiClav","A","res",6,250,113
"ERR434298","FIB","A","res",32,132,113,"Ciprofloxacin","A","res",7,248,113
"ERR434298","FIB","A","res",32,132,113,"Cefuroxime","A","res",4,248,113
"ERR434298","FIB","A","res",32,132,113,"PipTaz","A","res",3,250,113
"ERR434298","FIB","A","res",32,132,113,"Ceftazidime","A","res",4,248,113
"ERR434298","FIC","A","res",7,250,113,"Gentamicin","A","res",5,248,113
"ERR434298","FIC","A","res",7,250,113,"AmoxiClav","A","res",6,250,113
"ERR434298","FIC","A","res",7,250,113,"Ciprofloxacin","A","res",7,248,113
"ERR434298","FIC","A","res",7,250,113,"Cefuroxime","A","res",4,248,113
"ERR434298","FIC","A","res",7,250,113,"PipTaz","A","res",3,250,113
"ERR434298","FIC","A","res",7,250,113,"Ceftazidime","A","res",4,248,113
"ERR434298","FIA","A","res",5,250,113,"Gentamicin","A","res",5,248,113
"ERR434298","FIA","A","res",5,250,113,"AmoxiClav","A","res",6,250,113
"ERR434298","FIA","A","res",5,250,113,"Ciprofloxacin","A","res",7,248,113
"ERR434298","FIA","A","res",5,250,113,"Cefuroxime","A","res",4,248,113
"ERR434298","FIA","A","res",5,250,113,"PipTaz","A","res",3,250,113
"ERR434298","FIA","A","res",5,250,113,"Ceftazidime","A","res",4,248,113
"ERR434301","FIB","D","res",177,293,247,"Cefuroxime","D","sus",1,174,157
"ERR434301","FIB","D","res",177,293,247,"PipTaz","D","sus",1,158,157
"ERR434301","FIB","D","res",177,293,247,"Cefuroxime","D","sus",1,158,157
"ERR434301","FIB","D","res",177,293,247,"AmoxiClav","D","sus",1,158,157
"ERR434301","FIB","D","res",177,293,247,"Cefuroxime","D","sus",1,162,157
"ERR434301","FIB","D","res",177,293,247,"Gentamicin","D","sus",1,174,157
"ERR434302","FIB","B2","res",3,1230,195,"AmoxiClav","B2","res",3,827,142
"ERR434302","FIB","B2","res",3,1230,195,"Ciprofloxacin","B2","sus",1,663,142
"ERR434302","FIB","B2","res",3,1230,195,"PipTaz","B2","sus",1,152,142
"ERR434302","FIA","B2","res",2,1239,195,"AmoxiClav","B2","res",3,827,142
"ERR434302","FIA","B2","res",2,1239,195,"Ciprofloxacin","B2","sus",1,663,142
"ERR434302","FIA","B2","res",2,1239,195,"PipTaz","B2","sus",1,152,142
"ERR434302","FIA","B2","res",3,1230,195,"AmoxiClav","B2","res",3,827,142
"ERR434302","FIA","B2","res",3,1230,195,"Ciprofloxacin","B2","sus",1,663,142
"ERR434302","FIA","B2","res",3,1230,195,"PipTaz","B2","sus",1,152,142
"ERR434302","FIB","B2","res",120,1020,195,"AmoxiClav","B2","res",3,827,142
"ERR434302","FIB","B2","res",120,1020,195,"Ciprofloxacin","B2","sus",1,663,142
"ERR434302","FIB","B2","res",120,1020,195,"PipTaz","B2","sus",1,152,142
"ERR434302","FIB","B2","res",2,1239,195,"AmoxiClav","B2","res",3,827,142
"ERR434302","FIB","B2","res",2,1239,195,"Ciprofloxacin","B2","sus",1,663,142
"ERR434302","FIB","B2","res",2,1239,195,"PipTaz","B2","sus",1,152,142
"ERR434305","FIB","B2","sus",7,1432,390,"AmoxiClav","B2","sus",3,962,275
"ERR434305","FIB","B2","sus",7,1432,390,"AmoxiClav","B2","sus",1,288,275
"ERR434305","FIB","B2","sus",7,1432,390,"AmoxiClav","B2","sus",1,277,275
"ERR434305","FIB","B2","sus",7,1432,390,"PipTaz","B2","sus",1,277,275
"ERR434305","FIB","B2","sus",7,1432,390,"AmoxiClav","B2","sus",1,276,275
"ERR434305","FIB","B2","sus",7,1432,390,"AmoxiClav","B2","sus",1,302,275
"ERR434305","FIB","B2","sus",7,1432,390,"Cefuroxime","B2","sus",1,277,275
"ERR434305","FIB","B2","sus",7,1432,390,"Cefuroxime","B2","sus",1,278,275
"ERR434306","FIC","B2","sus",1,292,291,"PipTaz","B2","sus",1,210,205
"ERR434310","FIA","A","res",1,124,124,"Ceftazidime","A","res",1,124,124
"ERR434310","FIA","A","res",1,124,124,"Gentamicin","A","res",1,124,124
"ERR434310","FIA","A","res",1,124,124,"Ciprofloxacin","A","res",3,256,124
"ERR434310","FIA","A","res",1,124,124,"AmoxiClav","A","res",1,124,124
"ERR434310","FIA","A","res",1,124,124,"Cefuroxime","A","res",1,124,124
"ERR434310","FIC","A","res",3,258,124,"Ceftazidime","A","res",1,124,124
"ERR434310","FIC","A","res",3,258,124,"Gentamicin","A","res",1,124,124
"ERR434310","FIC","A","res",3,258,124,"Ciprofloxacin","A","res",3,256,124
"ERR434310","FIC","A","res",3,258,124,"AmoxiClav","A","res",1,124,124
"ERR434310","FIC","A","res",3,258,124,"Cefuroxime","A","res",1,124,124
"ERR434310","FIB","A","res",32,132,124,"Ceftazidime","A","res",1,124,124
"ERR434310","FIB","A","res",32,132,124,"Gentamicin","A","res",1,124,124
"ERR434310","FIB","A","res",32,132,124,"Ciprofloxacin","A","res",3,256,124
"ERR434310","FIB","A","res",32,132,124,"AmoxiClav","A","res",1,124,124
"ERR434310","FIB","A","res",32,132,124,"Cefuroxime","A","res",1,124,124
"ERR434317","FIC","B2","sus",33,1992,1012,"AmoxiClav","B2","res",1,658,658
"ERR434317","FIA","B2","sus",1,1013,1012,"AmoxiClav","B2","res",1,658,658
"ERR434317","FIB","B2","sus",1,1013,1012,"AmoxiClav","B2","res",1,658,658
"ERR434318","FIA","D","res",7,363,64,"Cefuroxime","D","sus",1,45,44
"ERR434318","FIA","D","res",7,363,64,"AmoxiClav","D","res",6,231,44
"ERR434318","FIA","D","res",7,363,64,"Gentamicin","D","sus",1,45,44
"ERR434318","FIA","D","res",7,363,64,"Ciprofloxacin","D","res",7,233,44
"ERR434318","FIA","D","res",7,363,64,"Cefuroxime","D","sus",1,51,44
"ERR434318","FIB","D","res",177,293,64,"Cefuroxime","D","sus",1,45,44
"ERR434318","FIB","D","res",177,293,64,"AmoxiClav","D","res",6,231,44
"ERR434318","FIB","D","res",177,293,64,"Gentamicin","D","sus",1,45,44
"ERR434318","FIB","D","res",177,293,64,"Ciprofloxacin","D","res",7,233,44
"ERR434318","FIB","D","res",177,293,64,"Cefuroxime","D","sus",1,51,44
"ERR434318","FIB","D","res",9,361,64,"Cefuroxime","D","sus",1,45,44
"ERR434318","FIB","D","res",9,361,64,"AmoxiClav","D","res",6,231,44
"ERR434318","FIB","D","res",9,361,64,"Gentamicin","D","sus",1,45,44
"ERR434318","FIB","D","res",9,361,64,"Ciprofloxacin","D","res",7,233,44
"ERR434318","FIB","D","res",9,361,64,"Cefuroxime","D","sus",1,51,44
"ERR434319","FIB","B2","sus",1,841,840,"Cefuroxime","B2","res",51,1165,550
"ERR434319","FIB","B2","sus",1,841,840,"AmoxiClav","B2","sus",1,549,550
"ERR434319","FIB","B2","sus",1,841,840,"Gentamicin","B2","res",1,550,550
"ERR434319","FIB","B2","sus",1,841,840,"Ceftazidime","B2","res",22,1167,550
"ERR434319","FIB","B2","sus",1,841,840,"Ciprofloxacin","B2","res",90,1164,550
"ERR434319","FIA","B2","res",152,1772,840,"Cefuroxime","B2","res",51,1165,550
"ERR434319","FIA","B2","res",152,1772,840,"AmoxiClav","B2","sus",1,549,550
"ERR434319","FIA","B2","res",152,1772,840,"Gentamicin","B2","res",1,550,550
"ERR434319","FIA","B2","res",152,1772,840,"Ceftazidime","B2","res",22,1167,550
"ERR434319","FIA","B2","res",152,1772,840,"Ciprofloxacin","B2","res",90,1164,550
"ERR434322","FIB","B2","sus",1,677,676,"AmoxiClav","B2","res",1,444,444
"ERR434322","FIB","B2","sus",1,677,676,"Gentamicin","B2","res",1,444,444
"ERR434322","FIB","B2","sus",1,677,676,"PipTaz","B2","res",1,444,444
"ERR434326","FIA","D","res",2,471,174,"AmoxiClav","D","res",1,111,111
"ERR434326","FIB","D","res",177,293,174,"AmoxiClav","D","res",1,111,111
"ERR434327","FIB","A","res",32,132,126,"AmoxiClav","A","res",1,126,126
"ERR434327","FIB","A","res",32,132,126,"Ciprofloxacin","A","res",3,256,126
"ERR434327","FIC","A","res",3,258,126,"AmoxiClav","A","res",1,126,126
"ERR434327","FIC","A","res",3,258,126,"Ciprofloxacin","A","res",3,256,126
"ERR434330","FIB","B2","res",7,1241,203,"AmoxiClav","B2","res",5,829,146
"ERR434330","FIB","B2","res",120,1020,203,"AmoxiClav","B2","res",5,829,146
"ERR434330","FIA","B2","res",7,1241,203,"AmoxiClav","B2","res",5,829,146
"ERR434331","FIA","B2","res",8,1527,484,"AmoxiClav","B2","sus",3,1014,328
"ERR434331","FIB","B2","res",7,1501,484,"AmoxiClav","B2","sus",3,1014,328
"ERR434331","FIB","B2","res",120,1020,484,"AmoxiClav","B2","sus",3,1014,328
"ERR434331","FIB","B2","res",10,1525,484,"AmoxiClav","B2","sus",3,1014,328
"ERR434332","FIB","B2","res",120,1020,995,"Cefuroxime","B2","sus",1,648,647
"ERR434332","FIB","B2","res",120,1020,995,"AmoxiClav","B2","sus",1,648,647
"ERR434332","FIC","B2","res",33,1992,995,"Cefuroxime","B2","sus",1,648,647
"ERR434332","FIC","B2","res",33,1992,995,"AmoxiClav","B2","sus",1,648,647
"ERR434334","FIC","D","sus",1,251,248,"PipTaz","D","res",1,158,158
"ERR434334","FIC","D","sus",1,251,248,"AmoxiClav","D","res",1,158,158
"ERR434334","FIC","D","sus",1,251,248,"Cefuroxime","D","res",1,158,158
"ERR434337","FIB","B2","res",171,1030,152,"AmoxiClav","B2","res",1,112,112
"ERR434337","FIB","B2","res",171,1030,152,"Ciprofloxacin","B2","sus",3,794,112
"ERR434337","FIB","B2","res",120,1020,152,"AmoxiClav","B2","res",1,112,112
"ERR434337","FIB","B2","res",120,1020,152,"Ciprofloxacin","B2","sus",3,794,112
"ERR434337","FIA","B2","sus",1,156,152,"AmoxiClav","B2","res",1,112,112
"ERR434337","FIA","B2","sus",1,156,152,"Ciprofloxacin","B2","sus",3,794,112
"ERR434339","FIC","B2","res",33,1992,989,"Cefuroxime","B2","sus",1,643,642
"ERR434339","FIB","B2","res",120,1020,989,"Cefuroxime","B2","sus",1,643,642
"ERR434344","FIB","B2","sus",1,288,286,"Cefuroxime","B2","sus",1,302,203
"ERR434344","FIB","B2","sus",1,288,286,"AmoxiClav","B2","sus",2,984,203
"ERR434344","FIB","B2","sus",1,289,286,"Cefuroxime","B2","sus",1,302,203
"ERR434344","FIB","B2","sus",1,289,286,"AmoxiClav","B2","sus",2,984,203
"ERR434348","FIB","A","res",32,132,98,"Ciprofloxacin","A","sus",7,248,98
"ERR434348","FIB","A","res",32,132,98,"AmoxiClav","A","sus",1,100,98
"ERR434348","FIB","A","res",32,132,98,"Ciprofloxacin","A","sus",1,107,98
"ERR434358","FIB","B1","res",3,134,62,"Ciprofloxacin","B1","res",1,40,40
"ERR434366","FIB","A","res",32,132,90,"Gentamicin","A","sus",5,248,90
"ERR434366","FIB","A","res",32,132,90,"AmoxiClav","A","sus",6,250,90
"ERR434373","FIB","B2","res",7,1432,391,"Cefuroxime","B2","sus",1,278,276
"ERR434373","FIB","B2","res",7,1432,391,"Cefuroxime","B2","sus",1,287,276
"ERR434373","FIB","B2","res",7,1432,391,"PipTaz","B2","sus",1,277,276
"ERR434373","FIB","B2","res",7,1432,391,"PipTaz","B2","sus",1,288,276
"ERR434373","FIB","B2","res",7,1432,391,"AmoxiClav","B2","res",1,276,276
"ERR434373","FIB","B2","res",7,1432,391,"Cefuroxime","B2","sus",1,277,276
"ERR434373","FIB","B2","res",120,1020,391,"Cefuroxime","B2","sus",1,278,276
"ERR434373","FIB","B2","res",120,1020,391,"Cefuroxime","B2","sus",1,287,276
"ERR434373","FIB","B2","res",120,1020,391,"PipTaz","B2","sus",1,277,276
"ERR434373","FIB","B2","res",120,1020,391,"PipTaz","B2","sus",1,288,276
"ERR434373","FIB","B2","res",120,1020,391,"AmoxiClav","B2","res",1,276,276
"ERR434373","FIB","B2","res",120,1020,391,"Cefuroxime","B2","sus",1,277,276
"ERR434374","FIA","A","res",1,128,128,"Gentamicin","A","res",1,128,128
"ERR434374","FIA","A","res",1,128,128,"Cefuroxime","A","res",2,259,128
"ERR434374","FIA","A","res",1,128,128,"AmoxiClav","A","res",1,128,128
"ERR434374","FIA","A","res",1,128,128,"Ceftazidime","A","res",1,128,128
"ERR434374","FIA","A","res",1,128,128,"Ciprofloxacin","A","res",1,128,128
"ERR434374","FIB","A","res",32,132,128,"Gentamicin","A","res",1,128,128
"ERR434374","FIB","A","res",32,132,128,"Cefuroxime","A","res",2,259,128
"ERR434374","FIB","A","res",32,132,128,"AmoxiClav","A","res",1,128,128
"ERR434374","FIB","A","res",32,132,128,"Ceftazidime","A","res",1,128,128
"ERR434374","FIB","A","res",32,132,128,"Ciprofloxacin","A","res",1,128,128
"ERR434374","FIC","A","res",1,128,128,"Gentamicin","A","res",1,128,128
"ERR434374","FIC","A","res",1,128,128,"Cefuroxime","A","res",2,259,128
"ERR434374","FIC","A","res",1,128,128,"AmoxiClav","A","res",1,128,128
"ERR434374","FIC","A","res",1,128,128,"Ceftazidime","A","res",1,128,128
"ERR434374","FIC","A","res",1,128,128,"Ciprofloxacin","A","res",1,128,128
"ERR434381","FIB","B2","res",120,1020,624,"AmoxiClav","B2","res",1,414,414
"ERR434381","FIB","B2","res",26,1636,624,"AmoxiClav","B2","res",1,414,414
"ERR434381","FIA","B2","sus",1,627,624,"AmoxiClav","B2","res",1,414,414
"ERR434386","FIB","B2","res",120,1020,640,"PipTaz","B2","res",1,424,424
"ERR434386","FIB","B2","res",120,1020,640,"AmoxiClav","B2","res",1,424,424
"ERR434386","FIB","B2","res",26,1636,640,"PipTaz","B2","res",1,424,424
"ERR434386","FIB","B2","res",26,1636,640,"AmoxiClav","B2","res",1,424,424
"ERR434388","FIB","D","res",177,293,216,"AmoxiClav","D","res",8,328,137
"ERR434388","FIB","D","res",177,293,216,"Cefuroxime","D","sus",1,140,137
"ERR434391","FIA","B2","res",152,1772,749,"Ceftazidime","B2","sus",1,498,494
"ERR434391","FIA","B2","res",152,1772,749,"Cefuroxime","B2","res",51,1165,494
"ERR434391","FIA","B2","res",152,1772,749,"Ceftazidime","B2","sus",2,1184,494
"ERR434391","FIA","B2","res",152,1772,749,"Gentamicin","B2","sus",1,501,494
"ERR434391","FIA","B2","res",152,1772,749,"Ciprofloxacin","B2","res",90,1164,494
"ERR434391","FIA","B2","res",152,1772,749,"Gentamicin","B2","sus",1,498,494
"ERR434392","FIB","B2","sus",1,214,198,"AmoxiClav","B2","sus",3,827,143
"ERR434392","FIB","B2","sus",1,214,198,"PipTaz","B2","sus",1,152,143
"ERR434392","FIA","B2","sus",7,1241,198,"AmoxiClav","B2","sus",3,827,143
"ERR434392","FIA","B2","sus",7,1241,198,"PipTaz","B2","sus",1,152,143
"ERR434398","FIB","D","res",177,293,170,"Cefuroxime","D","sus",1,109,108
"ERR434399","FIB","B2","res",171,1030,37,"AmoxiClav","B2","res",1,29,29
"ERR434399","FIB","B2","res",171,1030,37,"PipTaz","B2","res",1,29,29
"ERR434399","FIB","B2","res",120,1020,37,"AmoxiClav","B2","res",1,29,29
"ERR434399","FIB","B2","res",120,1020,37,"PipTaz","B2","res",1,29,29
"ERR434405","FIA","B2","res",152,1772,829,"Cefuroxime","B2","res",51,1165,542
"ERR434405","FIA","B2","res",152,1772,829,"Ceftazidime","B2","res",22,1167,542
"ERR434405","FIA","B2","res",152,1772,829,"Ciprofloxacin","B2","res",90,1164,542
"ERR434408","FIB","B2","sus",1,520,518,"Cefuroxime","B2","sus",1,347,345
"ERR434408","FIB","B2","sus",1,520,518,"AmoxiClav","B2","sus",1,346,345
"ERR434408","FIB","B2","sus",1,520,518,"AmoxiClav","B2","sus",1,347,345
"ERR434409","FIB","D","res",177,293,5,"AmoxiClav","D","sus",2,195,3
"ERR434412","FIC","B2","res",2,1215,182,"AmoxiClav","B2","sus",1,136,135
"ERR434412","FIC","B2","res",2,1215,182,"Gentamicin","B2","sus",1,139,135
"ERR434412","FIC","B2","res",2,1215,182,"Gentamicin","B2","sus",1,138,135
"ERR434412","FIC","B2","res",2,1215,182,"AmoxiClav","B2","sus",1,139,135
"ERR434412","FIB","B2","res",171,1030,182,"AmoxiClav","B2","sus",1,136,135
"ERR434412","FIB","B2","res",171,1030,182,"Gentamicin","B2","sus",1,139,135
"ERR434412","FIB","B2","res",171,1030,182,"Gentamicin","B2","sus",1,138,135
"ERR434412","FIB","B2","res",171,1030,182,"AmoxiClav","B2","sus",1,139,135
"ERR434412","FIB","B2","res",120,1020,182,"AmoxiClav","B2","sus",1,136,135
"ERR434412","FIB","B2","res",120,1020,182,"Gentamicin","B2","sus",1,139,135
"ERR434412","FIB","B2","res",120,1020,182,"Gentamicin","B2","sus",1,138,135
"ERR434412","FIB","B2","res",120,1020,182,"AmoxiClav","B2","sus",1,139,135
"ERR434416","FIB","D","res",177,293,252,"Cefuroxime","D","sus",1,162,159
"ERR434419","FIA","B2","res",152,1772,837,"Gentamicin","B2","res",1,547,547
"ERR434419","FIA","B2","res",152,1772,837,"PipTaz","B2","res",2,1224,547
"ERR434419","FIA","B2","res",152,1772,837,"Cefuroxime","B2","sus",1,548,547
"ERR434419","FIA","B2","res",152,1772,837,"Ciprofloxacin","B2","res",90,1164,547
"ERR434419","FIA","B2","res",152,1772,837,"AmoxiClav","B2","res",61,1160,547
"ERR434420","FIB","B2","res",120,1020,625,"AmoxiClav","B2","sus",1,414,415
"ERR434420","FIB","B2","res",26,1636,625,"AmoxiClav","B2","sus",1,414,415
"ERR434420","FIA","B2","sus",1,627,625,"AmoxiClav","B2","sus",1,414,415
"ERR434423","FIB","D","res",177,293,232,"AmoxiClav","D","sus",8,328,147
"ERR434423","FIC","D","res",6,533,232,"AmoxiClav","D","sus",8,328,147
"ERR434426","FIA","B2","res",152,1772,908,"AmoxiClav","B2","res",61,1160,590
"ERR434426","FIB","B2","res",120,1020,908,"AmoxiClav","B2","res",61,1160,590
"ERR434429","FIB","D","res",177,293,30,"AmoxiClav","D","sus",1,21,20
"ERR434444","FIC","A","sus",1,102,101,"Ciprofloxacin","A","sus",1,107,101
"ERR434444","FIC","A","sus",1,102,101,"AmoxiClav","A","sus",1,106,101
"ERR434444","FIB","A","res",32,132,101,"Ciprofloxacin","A","sus",1,107,101
"ERR434444","FIB","A","res",32,132,101,"AmoxiClav","A","sus",1,106,101
